symbol,common_charges,common_oxidation_states,default_charge,default_A,default_rho,default_C,min_radius,max_radius,vdw_radius
H,"-1,0,1","-1,0,1",0,100.0,0.100,0.0,0.31,1.20,1.20
He,0,0,0,10.0,0.150,0.0,0.28,0.28,1.40
Li,"0,1","0,1",1,150.0,0.200,0.0,0.59,1.20,1.82
Be,"0,2","0,2",2,300.0,0.150,0.0,0.27,0.45,1.53
B,"-1,0,3","-1,0,3",3,400.0,0.180,0.0,0.15,0.27,1.92
C,"-4,-3,-2,-1,0,1,2,3,4","-4,0,4",0,3500.0,0.180,35.0,0.70,0.77,1.70
N,"-3,-2,-1,0,1,2,3,4,5","-3,0,3,5",-3,923.0,0.325,0.0,0.71,1.46,1.55
O,"-2,-1,0,1,2","-2,0",-2,22764.0,0.149,27.88,1.22,1.35,1.52
F,"-1,0","-1",-1,500.0,0.120,0.0,1.19,1.19,1.47
Ne,0,0,0,20.0,0.160,0.0,0.51,0.51,1.54
Na,"-1,0,1","0,1",1,1200.0,0.250,0.0,0.99,1.16,2.27
Mg,"0,2","0,2",2,1284.38,0.2997,0.0,0.57,0.86,1.73
Al,"0,3","0,3",3,1725.0,0.2897,0.0,0.39,0.54,1.84
Si,"-4,-3,-2,-1,0,1,2,3,4","-4,0,4",4,340.554,0.200,1.00,0.26,0.40,2.10
P,"-3,-2,-1,0,1,2,3,4,5","-3,0,3,5",5,800.0,0.220,10.0,0.44,0.58,1.80
S,"-2,-1,0,1,2,3,4,5,6","-2,0,4,6",-2,1200.0,0.149,120.0,1.70,1.84,1.80
Cl,"-1,0,1,2,3,4,5,6,7","-1,0",-1,1000.0,0.130,0.0,1.67,1.81,1.75
Ar,0,0,0,30.0,0.180,0.0,0.71,0.71,1.88
K,"-1,0,1","0,1",1,1300.0,0.300,0.0,1.33,1.52,2.75
Ca,"0,2","0,2",2,2000.0,0.300,0.0,1.00,1.12,2.31
Sc,"0,1,2,3","0,3",3,1500.0,0.280,0.0,0.75,0.89,2.11
Ti,"-2,-1,0,1,2,3,4","0,3,4",4,3147.6,0.2870,0.0,0.42,0.75,2.00
V,"-3,-1,0,1,2,3,4,5","0,3,4,5",5,2000.0,0.270,0.0,0.40,0.72,2.00
Cr,"-4,-2,-1,0,1,2,3,4,5,6","0,3,6",3,2500.0,0.260,0.0,0.44,0.76,2.00
Mn,"-3,-2,-1,0,1,2,3,4,5,6,7","0,2,4,7",2,2200.0,0.250,0.0,0.46,0.81,2.00
Fe,"-4,-2,-1,0,1,2,3,4,5,6","0,2,3",2,4500.0,0.250,0.0,0.49,0.78,2.00
Co,"-3,-1,0,1,2,3,4,5","0,2,3",3,4000.0,0.240,0.0,0.45,0.75,2.00
Ni,"-2,-1,0,1,2,3,4","0,2,3",2,3500.0,0.230,0.0,0.48,0.69,1.63
Cu,"-2,0,1,2,3,4","0,1,2",2,3400.0,0.220,0.0,0.46,0.87,1.40
Zn,"0,2","0,2",2,613.356,0.3990,0.0,0.60,0.90,1.39
Ga,"-5,-4,-3,-2,-1,0,1,2,3","0,3",3,1092.0,0.320,0.0,0.47,0.62,1.87
Ge,"-4,-3,-2,-1,0,1,2,3,4","-4,0,4",4,1000.0,0.310,0.0,0.39,0.53,2.11
As,"-3,-2,-1,0,1,2,3,4,5","-3,0,3,5",3,900.0,0.300,0.0,0.46,0.72,1.85
Se,"-2,-1,0,1,2,3,4,5,6","-2,0,4,6",-2,800.0,0.290,0.0,1.60,1.98,1.90
Br,"-1,0,1,3,4,5,7","-1,0",-1,700.0,0.280,0.0,1.82,1.96,1.85
Kr,0,0,0,40.0,0.200,0.0,1.12,1.12,2.02
Rb,"-1,0,1","0,1",1,1400.0,0.320,0.0,1.47,1.61,3.03
Sr,"0,2","0,2",2,1455.2,0.3585,0.0,1.18,1.31,2.49
Y,"0,1,2,3","0,3",3,23000.0,0.24203,0.0,0.90,1.04,2.32
Zr,"-2,0,1,2,3,4","0,4",4,7290.347,0.2610,0.0,0.59,0.86,2.23
Nb,"-3,-1,0,1,2,3,4,5","0,3,5",5,6000.0,0.250,0.0,0.48,0.78,2.18
Mo,"-4,-2,-1,0,1,2,3,4,5,6","0,4,6",6,5500.0,0.240,0.0,0.46,0.79,2.17